usuario,op,co,ex,ag,ne,wordcount,cluster
3gerardpique,0.1026375488582497,0.4857248062090638,0.5653912195631443,0.6415006699613588,0.3839666372802561,0.1511752318035618,3
aguerosergiokun,0.3591155020349528,0.3032924864832821,0.4679016725509929,0.4787232875908207,0.4066625301128639,0.34773456559692,1
albertochicote,0.2810606448885853,0.1410229965427633,0.4936958718204447,0.8101605845054368,0.3401900511015023,0.2085176261203681,3
AlejandroSanz,0.2485068744195653,0.1800810513659806,0.8179657429759943,0.696231920163383,0.1743931748343849,0.3555436778618643,3
alfredocasero1,0.1594266620443047,0.2821460287274123,0.7254150136069117,0.6980452871434017,0.2734742419781134,0.1981675358121891,3
alo_oficial,0.0842531507116479,0.1993820908487801,0.596094064807382,0.5269235775338676,0.4749906626862903,0.1655081201947187,3
andresiniesta8,0.0439258028378384,0.1407878409884172,0.6926311255597988,0.3289410038508271,0.2560272899252575,0.4077013646150307,1
andykusnetzoff,0.0442621142161046,0.2090542450926355,0.8918759002571812,0.8617261397983585,0.2803888436106824,0.2887538036900035,3
andyroddick,0.3928677177165072,0.4211645790448735,0.5163164540718891,0.2350620390069091,0.3234485559225019,0.6604681131058096,0
andy_murray,0.2259400594073318,0.437537398193093,0.3470044784869683,0.7349002756866451,0.4325549195496353,0.8132440055353823,0
AngelAlessandra,0.5454148732939204,0.403344880749019,0.5593139988614997,0.2478225896154247,0.3159122946591698,0.4348993978197833,2
antoniobanderas,0.2713266188152394,0.2964801789307372,0.4979125387278039,0.3761375267339505,0.2960279017366423,0.1313050757344374,1
aplusk,0.5851679291780452,0.4580427423579409,0.3746727006113252,0.3026434578798463,0.3415068400207789,0.5671132113890115,2
AvrilLavigne,0.4220595261541604,0.2989350248642416,0.5043847870412661,0.3879002251386051,0.3414243064906608,0.5836816514141997,2
BarackObama,0.2259036352726138,0.2929042397809344,0.5539785976140508,0.3740145410182,0.5567365945872385,0.8161945754761447,0
BarRefaeli,0.4462288351302574,0.3186063876777915,0.6059718945925905,0.3183558733577523,0.1806805390685799,0.2524599080704215,1
Berto_Romero,0.2412217835329511,0.4327051262546724,0.6199945238786753,0.787009390265624,0.3377894757896343,0.2085892693521566,3
BillGates,0.3203897363218977,0.3951312605230375,0.6102097375862305,0.3760490276983758,0.449637791536949,0.9239634355569132,0
britneyspears,0.474424066764719,0.271908840630706,0.5529131803316121,0.2278967823726546,0.2618741848234259,0.4931250777706134,2
Buenafuente,0.0,0.1638587643200243,0.6225464975555599,0.9531550433723608,0.2126701257250607,0.3069285603858177,3
CarlosAuryn,0.1653001617442735,0.3775482254957488,0.8084780540134615,0.8115049193857872,0.2483874477743378,0.1559527041549304,3
carmenelectra,0.4936693270202006,0.2735372198520396,0.551638554986662,0.2746588350988326,0.4442813480017582,0.6542266678732896,2
Carrie_Br4dshaw,0.0999672614694273,0.170259872734082,0.0,0.0120313607586771,0.2688656114895738,0.0,1
CasillasWorld,0.0286735683443459,0.2310298738734832,0.6196586482966184,0.7533932809856848,0.3637736805104389,0.3902548236633824,3
celinedion,0.4140640686612695,0.5245980104825386,0.5659881615223363,0.0989819189884048,0.2725655887732436,0.3506643967074279,2
